Code,Name,LastPurchaseDate,FREQUENCY,MONETARY,RECENCY,RFM_Score,Value_Segment
PL000170C,Reema glading factory,2025-03-24,1,1500.0,37,144,Mid-Value
PL000169C,Tyne Gulf Industrial Company,2025-03-12,1,3838.13,49,144,Mid-Value
PL000166C,Larsen Toubro Limited,2025-03-23,2,148657.05,38,132,Mid-Value
PL000165C,Berain Closed Joint Stock Company,2025-01-02,1,31452.5,118,143,Mid-Value
PL000164C,Mohammed Hussain Alathalh factory,2025-01-30,4,151328.5,90,122,High-Value
PL000163C,Shabbeek Shatta Food Services Company,2024-11-27,1,6131.8,154,144,Mid-Value
PL000159C,Al Saif Operation and Maintenance Company,2024-11-19,1,3000.35,162,144,Mid-Value
PL000158C,BANG Kransysteme GmbH Co. KG,2025-04-13,12,2022629.36,17,111,VIP
PL000156C,AJEEJ STEEL MANUFACTURING CO,2024-10-27,1,33245.35,185,243,Low-Value
PL000155C,Multi power solutions for operation maintenance,2025-02-27,1,87226.47,62,142,Mid-Value
PL000153C,Abdullah bin taleb company for trading and industry,2024-11-10,2,157163.83,171,232,Mid-Value
PL000149C,United Wire Factories Company,2024-09-02,2,34103.0,240,233,Mid-Value
PL000145C,UNITED SULB INDUSTRY COMPANY,2024-10-07,3,17207.45,205,223,Mid-Value
PL000144C,Gulf Maid,2025-03-06,2,64413.05,55,132,Mid-Value
PL000143C,Abdulla Mohammed Ibrahim Alziyabi Est,2024-08-18,1,20448.29,255,243,Low-Value
PL000142C,Metal development,2024-11-04,4,24683.6,177,223,Mid-Value
PL000141C,Bahra Steel Company,2024-12-12,4,24750.88,139,123,Mid-Value
PL000140C,EASTERN MORRIS CRANES CO. LTD,2025-03-23,1,23741.75,38,143,Mid-Value
PL000139C,ALI ABDULMOHSIN AL-TAMIMI SONS COMPANY,2024-08-27,1,35917.76,246,243,Low-Value
PL000138C,ALNAFIE METAL INDUSTRIES CO. LTD.,2025-04-15,7,152368.68,15,112,High-Value
PL000137C,Attieh Trading Company,2024-08-14,1,5311.85,259,244,Low-Value
PL000136C,Saudi Water Authority,2024-08-06,2,14883.3,267,233,Mid-Value
PL000135C,SONS OF ABDULLAH A ALSUNAID COMPANY,2024-07-29,1,805.0,275,244,Low-Value
PL000134C,Triomada Plastic International Co.,2025-02-13,3,9892.88,76,124,Mid-Value
PL000130C,Opal united factory for concrete products,2024-05-15,1,17858.35,350,243,Low-Value
PL000129C,Valuable Metal for Metal Industrial Co.,2024-06-04,2,69575.0,330,232,Mid-Value
PL000128C,Winchy Kuwait Company,2024-07-24,2,2960.75,280,234,Low-Value
PL000127C,Packers Plus Saudi Arabia Industries Limited,2025-01-16,8,73078.26,104,112,High-Value
PL000125C,SSAB SAUDI FACTORY,2025-04-24,4,21033.5,6,123,Mid-Value
PL000124C,MGB International for Industry,2025-01-13,5,46587.08,107,112,High-Value
PL000123C,INNOVATIVE FLOOR FACTORY OFFICES PROJECT,2024-08-21,3,190248.53,252,221,Mid-Value
PL000122C,Solb Tihamah Company,2024-10-17,4,79254.4,195,222,Mid-Value
PL000120C,The International Electrical Products Co,2025-01-12,4,38956.71,108,112,High-Value
PL000119C,Al-Kifah Precast Company,2025-02-27,4,170543.85,62,111,VIP
PL000116C,MVL Group,2024-07-01,2,2438.0,303,234,Low-Value
PL000115C,Abdullah Abdin Factory,2024-02-04,1,160005.25,451,242,Low-Value
PL000113C,A.N. Alodan Sons Co. Glass Aluminium Factory,2024-07-30,2,4571.25,274,234,Low-Value
PL000112C,AL Walidah First Industry CO. Ltd,2024-01-21,1,153994.2,465,242,Low-Value
PL000110C,SWCC,2025-02-12,3,40330.5,77,122,High-Value
PL000108C,Gulf Packaging Industries Co.,2025-02-20,17,252956.88,69,111,VIP
PL000106C,JUTHOR PAPER MANUFACTURING COMPANY,2025-01-16,2,98988.55,104,132,Mid-Value
PL000103C,Precast Building System Co. Ltd,2023-11-20,1,14448.6,527,343,Low-Value
PL000102C,Al-Adwani Contracting Establishment owned by Aboud Abdul-Rahman Muhammad Al-Adwani,2023-11-29,4,10498.75,518,213,Mid-Value
PL000100C,Al-Khayyat Factories Company for Trading And Red Bricks AL-Khumra,2024-03-05,1,8567.5,421,244,Low-Value
PL000098C,Aktar Steel,2025-04-20,5,25264.35,10,113,High-Value
PL000096C,Sulb Al Jazeera Concrete Manufacturing,2025-02-17,15,461683.14,72,111,VIP
PL000095C,AL MOUSA SPECIALIZED CABLES,2023-10-02,2,12144.0,576,333,Low-Value
PL000093C,AFAQ STEEL,2023-07-06,1,3421.83,664,344,Low-Value
PL000092C,RADWA GULF Co.LTD.,2023-07-05,1,3650.1,665,344,Low-Value
PL000087C,Saudi Services for Electro Mechanic Work SSEM,2023-06-19,1,2760.0,681,344,Low-Value
PL000086C,Ateyatallah Mabrook B.Al Harbi General Contracting,2024-11-17,9,110155.83,164,212,Mid-Value
PL000084C,Hussien Omar Al- Attas Factory Company,2024-12-17,7,3617507.4,134,111,VIP
PL000083C,TALAI AL-FOLATH FOR MANUFACTURING CO,2024-11-12,16,1040102.55,169,211,Mid-Value
PL000082C,RAJHI STEEL,2023-11-17,1,55545.0,530,342,Low-Value
PL000081C,Saudi Aluminum Polars Factory Company LTD,2023-03-19,1,500.0,773,344,Low-Value
PL000080C,Al Ittefaq Steel Products Co,,2,80408.0,0,122,High-Value
PL000077C,Madar Building Materials Limited Co.,2024-07-04,6,289178.02,300,211,Mid-Value
